MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Bernard Jenkin","Harwich and North Essex CC","","","£7,941.85","£0.00","","","","£111,745.32","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£119,687.17","","","","£1,200.00","£0.00","","Uncapped","£1,269.27","Uncapped","£0.00","£2,469.27","£122,156.44"
"Bill Cash","Stone CC","","","£17,062.66","£0.00","","","","£121,842.56","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£138,905.22","","","","£20,000.00","£0.00","","Uncapped","£9,309.77","Uncapped","£0.00","£29,309.77","£168,214.99"
"Bill Esterson","Sefton Central CC","","","£19,319.97","£0.00","","","","£144,315.64","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£163,635.61","","","","£20,802.75","£0.00","","Uncapped","£8,081.63","Uncapped","£0.00","£28,884.38","£192,519.99"
"Bill Wiggin","North Herefordshire CC","","","£13,601.39","£0.00","","","","£111,398.89","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£125,000.28","","","","£2,176.12","£0.00","","Uncapped","£5,491.25","Uncapped","£0.00","£7,667.37","£132,667.65"
"Bob Ainsworth","Coventry North East BC","","","£9,896.44","£0.00","","","","£106,134.71","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£116,031.15","","","","£18,742.50","£0.00","","Uncapped","£3,236.80","Uncapped","£0.00","£21,979.30","£138,010.45"
"Bob Blackman","Harrow East BC","","","£26,217.23","£0.00","","","","£145,164.47","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£171,381.70","","","","£0.00","£0.00","","Uncapped","£4,442.72","Uncapped","£0.00","£4,442.72","£175,824.42"
"Bob Neill","Bromley and Chislehurst BC","","","£24,397.30","£0.00","","","","£129,313.86","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£153,711.16","","","","£0.00","£0.00","","Uncapped","£1,581.30","Uncapped","£0.00","£1,581.30","£155,292.46"
"Bob Russell","Colchester BC","","","£23,474.48","£0.00","","","","£135,373.92","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£158,848.40","","","","£0.00","£0.00","","Uncapped","£3,844.82","Uncapped","£0.00","£3,844.82","£162,693.22"
"Bob Stewart","Beckenham BC","","","£14,029.54","£0.00","","","","£115,839.21","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£129,868.75","","","","£0.00","£0.00","","Uncapped","£272.58","Uncapped","£0.00","£272.58","£130,141.33"
"Brandon Lewis","Great Yarmouth CC","","","£19,008.53","£0.00","","","","£129,362.80","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£148,371.33","","","","£6,876.48","£0.00","","Uncapped","£7,415.04","Uncapped","£647.23","£14,938.75","£163,310.08"
"Brian Binley","Northampton South BC","","","£10,260.01","£0.00","","","","£108,817.39","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£119,077.40","","","","£17,793.28","£0.00","","Uncapped","£1,935.85","Uncapped","£0.00","£19,729.13","£138,806.53"
"Brian Donohoe","Central Ayrshire CC","","","£19,883.92","£0.00","","","","£120,913.76","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£140,797.68","","","","£8,002.95","£0.00","","Uncapped","£22,776.79","Uncapped","£0.00","£30,779.74","£171,577.42"
"Bridget Phillipson","Houghton and Sunderland South BC","","","£19,584.98","£0.00","","","","£124,309.02","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£143,894.00","","","","£22,699.75","£0.00","","Uncapped","£7,447.24","Uncapped","£0.00","£30,146.99","£174,040.99"
"Brooks Newmark","Braintree CC","","","£16,946.59","£0.00","","","","£105,214.93","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£122,161.52","","","","£3,620.00","£0.00","","Uncapped","-£481.50","Uncapped","£0.00","£3,138.50","£125,300.02"
