Person ID,First name,Last name,Party,Constituency,URI
24902,Alok,Sharma,Conservative,Reading West,https://www.theyworkforyou.com/mp/24902/alok_sharma/reading_west
11773,Rob,Wilson,Conservative,Reading East,https://www.theyworkforyou.com/mp/11773/rob_wilson/reading_east
10901,Mark,Francois,Conservative,Rayleigh and Wickford,https://www.theyworkforyou.com/mp/10901/mark_francois/rayleigh_and_wickford
11771,Justine,Greening,Conservative,Putney,https://www.theyworkforyou.com/mp/11771/justine_greening/putney
24864,Stuart,Andrew,Conservative,Pudsey,https://www.theyworkforyou.com/mp/24864/stuart_andrew/pudsey
10682,Mark,Hendrick,Labour,Preston,https://www.theyworkforyou.com/mp/10682/mark_hendrick/preston
11768,Stephen,Crabb,Conservative,Preseli Pembrokeshire,https://www.theyworkforyou.com/mp/11768/stephen_crabb/preseli_pembrokeshire
10258,Mike,Hancock,Liberal Democrat,Portsmouth South,https://www.theyworkforyou.com/mp/10258/mike_hancock/portsmouth_south
24938,Penny,Mordaunt,Conservative,Portsmouth North,https://www.theyworkforyou.com/mp/24938/penny_mordaunt/portsmouth_north
10199,Jim,Fitzpatrick,Labour,Poplar and Limehouse,https://www.theyworkforyou.com/mp/10199/jim_fitzpatrick/poplar_and_limehouse
10582,Robert,Syms,Conservative,Poole,https://www.theyworkforyou.com/mp/10582/robert_syms/poole
24797,Owen,Smith,Labour,Pontypridd,https://www.theyworkforyou.com/mp/24797/owen_smith/pontypridd
24898,Oliver,Colvile,Conservative,"Plymouth, Sutton and Devonport",https://www.theyworkforyou.com/mp/24898/oliver_colvile/plymouth%2C_sutton_and_devonport
11760,Alison,Seabeck,Labour,"Plymouth, Moor View",https://www.theyworkforyou.com/mp/11760/alison_seabeck/plymouth%2C_moor_view
11759,Stewart,Jackson,Conservative,Peterborough,https://www.theyworkforyou.com/mp/11759/stewart_jackson/peterborough
11333,Pete,Wishart,Scottish National Party,Perth and North Perthshire,https://www.theyworkforyou.com/mp/11333/pete_wishart/perth_and_north_perthshire
24964,Rory,Stewart,Conservative,Penrith and The Border,https://www.theyworkforyou.com/mp/24964/rory_stewart/penrith_and_the_border
11814,Angela,Smith,Labour,Penistone and Stocksbridge,https://www.theyworkforyou.com/mp/11814/angela_smith/penistone_and_stocksbridge
24759,Andrew,Stephenson,Conservative,Pendle,https://www.theyworkforyou.com/mp/24759/andrew_stephenson/pendle
10661,Douglas,Alexander,Labour,Paisley and Renfrewshire South,https://www.theyworkforyou.com/mp/10661/douglas_alexander/paisley_and_renfrewshire_south
11221,Jim,Sheridan,Labour,Paisley and Renfrewshire North,https://www.theyworkforyou.com/mp/11221/jim_sheridan/paisley_and_renfrewshire_north
24842,Nicola,Blackwood,Conservative,Oxford West and Abingdon,https://www.theyworkforyou.com/mp/24842/nicola_blackwood/oxford_west_and_abingdon
10545,Andrew,Smith,Labour,Oxford East,https://www.theyworkforyou.com/mp/10545/andrew_smith/oxford_east
24895,Jo,Johnson,Conservative,Orpington,https://www.theyworkforyou.com/mp/24895/jo_johnson/orpington
10785,Alistair,Carmichael,Liberal Democrat,Orkney and Shetland,https://www.theyworkforyou.com/mp/10785/alistair_carmichael/orkney_and_shetland
10427,Michael,Meacher,Labour,Oldham West and Royton,https://www.theyworkforyou.com/mp/10427/michael_meacher/oldham_west_and_royton
10652,Phil,Woolas,Labour,Oldham East and Saddleworth,https://www.theyworkforyou.com/mp/10652/phil_woolas/oldham_east_and_saddleworth
11640,James,Brokenshire,Conservative,Old Bexley and Sidcup,https://www.theyworkforyou.com/mp/11640/james_brokenshire/old_bexley_and_sidcup
11347,Huw,Irranca-Davies,Labour,Ogmore,https://www.theyworkforyou.com/mp/11347/huw_irranca-davies/ogmore
12005,Gordon,Banks,Labour,Ochil and South Perthshire,https://www.theyworkforyou.com/mp/12005/gordon_banks/ochil_and_south_perthshire
24745,Marcus,Jones,Conservative,Nuneaton,https://www.theyworkforyou.com/mp/24745/marcus_jones/nuneaton
24774,Lilian,Greenwood,Labour,Nottingham South,https://www.theyworkforyou.com/mp/24774/lilian_greenwood/nottingham_south
10008,Graham,Allen,Labour,Nottingham North,https://www.theyworkforyou.com/mp/10008/graham_allen/nottingham_north
10354,Chris,Leslie,Labour,Nottingham East,https://www.theyworkforyou.com/mp/10354/chris_leslie/nottingham_east
24874,Simon,Wright,Liberal Democrat,Norwich South,https://www.theyworkforyou.com/mp/24874/simon_wright/norwich_south
24691,Chloe,Smith,Conservative,Norwich North,https://www.theyworkforyou.com/mp/24691/chloe_smith/norwich_north
11742,Brian,Binley,Conservative,Northampton South,https://www.theyworkforyou.com/mp/11742/brian_binley/northampton_south
24866,Michael,Ellis,Conservative,Northampton North,https://www.theyworkforyou.com/mp/24866/michael_ellis/northampton_north
10240,James,Gray,Conservative,North Wiltshire,https://www.theyworkforyou.com/mp/10240/james_gray/north_wiltshire
10726,Henry,Bellingham,Conservative,North West Norfolk,https://www.theyworkforyou.com/mp/10726/henry_bellingham/north_west_norfolk
24741,Andrew,Bridgen,Conservative,North West Leicestershire,https://www.theyworkforyou.com/mp/24741/andrew_bridgen/north_west_leicestershire
10659,George,Young,Conservative,North West Hampshire,https://www.theyworkforyou.com/mp/10659/george_young/north_west_hampshire
24917,Pat,Glass,Labour,North West Durham,https://www.theyworkforyou.com/mp/24917/pat_glass/north_west_durham
11475,Shailesh,Vara,Conservative,North West Cambridgeshire,https://www.theyworkforyou.com/mp/11475/shailesh_vara/north_west_cambridgeshire
24849,Dan,Byles,Conservative,North Warwickshire,https://www.theyworkforyou.com/mp/24849/dan_byles/north_warwickshire
24927,Mary,Glindon,Labour,North Tyneside,https://www.theyworkforyou.com/mp/24927/mary_glindon/north_tyneside
10217,Roger,Gale,Conservative,North Thanet,https://www.theyworkforyou.com/mp/10217/roger_gale/north_thanet
24870,Justin,Tomlinson,Conservative,North Swindon,https://www.theyworkforyou.com/mp/24870/justin_tomlinson/north_swindon
10213,Liam,Fox,Conservative,North Somerset,https://www.theyworkforyou.com/mp/10213/liam_fox/north_somerset
10473,Owen,Paterson,Conservative,North Shropshire,https://www.theyworkforyou.com/mp/10473/owen_paterson/north_shropshire
11032,Norman,Lamb,Liberal Democrat,North Norfolk,https://www.theyworkforyou.com/mp/11032/norman_lamb/north_norfolk
11318,Bill,Wiggin,Conservative,North Herefordshire,https://www.theyworkforyou.com/mp/11318/bill_wiggin/north_herefordshire
24926,Jacob,Rees-Mogg,Conservative,North East Somerset,https://www.theyworkforyou.com/mp/24926/jacob_rees-mogg/north_east_somerset
10267,Oliver,Heald,Conservative,North East Hertfordshire,https://www.theyworkforyou.com/mp/10267/oliver_heald/north_east_hertfordshire
10013,James,Arbuthnot,Conservative,North East Hampshire,https://www.theyworkforyou.com/mp/10013/james_arbuthnot/north_east_hampshire
10088,Menzies,Campbell,Liberal Democrat,North East Fife,https://www.theyworkforyou.com/mp/10088/menzies_campbell/north_east_fife
11534,Natascha,Engel,Labour,North East Derbyshire,https://www.theyworkforyou.com/mp/11534/natascha_engel/north_east_derbyshire
24916,Stephen,Barclay,Conservative,North East Cambridgeshire,https://www.theyworkforyou.com/mp/24916/stephen_barclay/north_east_cambridgeshire
10770,Alistair,Burt,Conservative,North East Bedfordshire,https://www.theyworkforyou.com/mp/10770/alistair_burt/north_east_bedfordshire
11003,Kevan,Jones,Labour,North Durham,https://www.theyworkforyou.com/mp/11003/kevan_jones/north_durham
10958,Sylvia,Hermon,Independent,North Down,https://www.theyworkforyou.com/mp/10958/sylvia_hermon/north_down
10620,Robert,Walter,Conservative,North Dorset,https://www.theyworkforyou.com/mp/10620/robert_walter/north_dorset
10262,Nick,Harvey,Liberal Democrat,North Devon,https://www.theyworkforyou.com/mp/10262/nick_harvey/north_devon
11513,Dan,Rogerson,Liberal Democrat,North Cornwall,https://www.theyworkforyou.com/mp/11513/dan_rogerson/north_cornwall
11963,Katy,Clark,Labour,North Ayrshire and Arran,https://www.theyworkforyou.com/mp/11963/katy_clark/north_ayrshire_and_arran
13852,Ian,Paisley Jnr,DUP,North Antrim,https://www.theyworkforyou.com/mp/13852/ian_paisley_jnr/north_antrim
10131,Yvette,Cooper,Labour,"Normanton, Pontefract and Castleford",https://www.theyworkforyou.com/mp/10131/yvette_cooper/normanton%2C_pontefract_and_castleford
24912,Anne Marie,Morris,Conservative,Newton Abbot,https://www.theyworkforyou.com/mp/24912/anne_marie_morris/newton_abbot
11734,Conor,Murphy,Sinn Fein,Newry and Armagh,https://www.theyworkforyou.com/mp/11734/conor_murphy/newry_and_armagh
10203,Paul,Flynn,Labour,Newport West,https://www.theyworkforyou.com/mp/10203/paul_flynn/newport_west
11732,Jessica,Morden,Labour,Newport East,https://www.theyworkforyou.com/mp/11732/jessica_morden/newport_east
10882,Paul,Farrelly,Labour,Newcastle-under-Lyme,https://www.theyworkforyou.com/mp/10882/paul_farrelly/newcastle-under-lyme
24818,Catherine,McKinnell,Labour,Newcastle upon Tyne North,https://www.theyworkforyou.com/mp/24818/catherine_mckinnell/newcastle_upon_tyne_north
10069,Nick,Brown,Labour,Newcastle upon Tyne East,https://www.theyworkforyou.com/mp/10069/nick_brown/newcastle_upon_tyne_east
24807,Chi,Onwurah,Labour,Newcastle upon Tyne Central,https://www.theyworkforyou.com/mp/24807/chi_onwurah/newcastle_upon_tyne_central
11727,Richard,Benyon,Conservative,Newbury,https://www.theyworkforyou.com/mp/11727/richard_benyon/newbury
11109,Patrick,Mercer,Conservative,Newark,https://www.theyworkforyou.com/mp/11109/patrick_mercer/newark
10580,Desmond,Swayne,Conservative,New Forest West,https://www.theyworkforyou.com/mp/10580/desmond_swayne/new_forest_west
10358,Julian,Lewis,Conservative,New Forest East,https://www.theyworkforyou.com/mp/10358/julian_lewis/new_forest_east
10252,Peter,Hain,Labour,Neath,https://www.theyworkforyou.com/mp/10252/peter_hain/neath
12004,Angus,MacNeil,Scottish National Party,Na h-Eileanan an Iar,https://www.theyworkforyou.com/mp/12004/angus_macneil/na_h-eileanan_an_iar
10517,Frank,Roy,Labour,Motherwell and Wishaw,https://www.theyworkforyou.com/mp/10517/frank_roy/motherwell_and_wishaw
11740,Edward,Balls,Labour,Morley and Outwood,https://www.theyworkforyou.com/mp/11740/edward_balls/morley_and_outwood
24966,David,Morris,Conservative,Morecambe and Lunesdale,https://www.theyworkforyou.com/mp/24966/david_morris/morecambe_and_lunesdale
11189,Angus,Robertson,Scottish National Party,Moray,https://www.theyworkforyou.com/mp/11189/angus_robertson/moray
24739,Glyn,Davies,Conservative,Montgomeryshire,https://www.theyworkforyou.com/mp/24739/glyn_davies/montgomeryshire
11719,David,Davies,Conservative,Monmouth,https://www.theyworkforyou.com/mp/11719/david_davies/monmouth
10041,Paul,Beresford,Conservative,Mole Valley,https://www.theyworkforyou.com/mp/10041/paul_beresford/mole_valley
10381,Siobhain,McDonagh,Labour,Mitcham and Morden,https://www.theyworkforyou.com/mp/10381/siobhain_mcdonagh/mitcham_and_morden
24947,Iain,Stewart,Conservative,Milton Keynes South,https://www.theyworkforyou.com/mp/24947/iain_stewart/milton_keynes_south
11715,Mark,Lancaster,Conservative,Milton Keynes North,https://www.theyworkforyou.com/mp/11715/mark_lancaster/milton_keynes_north
10934,David,Hamilton,Labour,Midlothian,https://www.theyworkforyou.com/mp/10934/david_hamilton/midlothian
24848,Tom,Blenkinsop,Labour,Middlesbrough South and East Cleveland,https://www.theyworkforyou.com/mp/24848/tom_blenkinsop/middlesbrough_south_and_east_cleveland
10036,Stuart,Bell,Labour,Middlesbrough,https://www.theyworkforyou.com/mp/10036/stuart_bell/middlesbrough
10373,Peter,Luff,Conservative,Mid Worcestershire,https://www.theyworkforyou.com/mp/10373/peter_luff/mid_worcestershire
10387,Martin,McGuinness,Sinn Fein,Mid Ulster,https://www.theyworkforyou.com/mp/10387/martin_mcguinness/mid_ulster
10555,Nicholas,Soames,Conservative,Mid Sussex,https://www.theyworkforyou.com/mp/10555/nicholas_soames/mid_sussex
24817,George,Freeman,Conservative,Mid Norfolk,https://www.theyworkforyou.com/mp/24817/george_freeman/mid_norfolk
10754,Annette,Brooke,Liberal Democrat,Mid Dorset and North Poole,https://www.theyworkforyou.com/mp/10754/annette_brooke/mid_dorset_and_north_poole
24821,Pauline,Latham,Conservative,Mid Derbyshire,https://www.theyworkforyou.com/mp/24821/pauline_latham/mid_derbyshire
11397,Nadine,Dorries,Conservative,Mid Bedfordshire,https://www.theyworkforyou.com/mp/11397/nadine_dorries/mid_bedfordshire
10944,Dai,Havard,Labour,Merthyr Tydfil and Rhymney,https://www.theyworkforyou.com/mp/10944/dai_havard/merthyr_tydfil_and_rhymney
10559,Caroline,Spelman,Conservative,Meriden,https://www.theyworkforyou.com/mp/10559/caroline_spelman/meriden
24936,George,Hollingbery,Conservative,Meon Valley,https://www.theyworkforyou.com/mp/24936/george_hollingbery/meon_valley
10428,Alan,Meale,Labour,Mansfield,https://www.theyworkforyou.com/mp/10428/alan_meale/mansfield
11707,John,Leech,Liberal Democrat,"Manchester, Withington",https://www.theyworkforyou.com/mp/11707/john_leech/manchester%2C_withington
10327,Gerald,Kaufman,Labour,"Manchester, Gorton",https://www.theyworkforyou.com/mp/10327/gerald_kaufman/manchester%2C_gorton
